job_name,岗位划分,最低薪资,最高薪资,平均薪资,薪资等级,最低经验,最高经验,job_edu,学历要求,城市,区,街道,job_company,公司规模
高级数据工程师,数据开发,45000.0,75000.0,60000.0,40k以上,3.0,5.0,本科,2,北京,大兴,,北京美中爱瑞肿瘤医院有限责任公司,399.5
智能体开发工程师-外派,AI/智能体,35000.0,45000.0,40000.0,40k以上,0.0,,本科,2,上海,徐汇,虹梅路,康龙化成,15000.0
英语高级Python 全栈工程师（AI 原生/RAG）,后端/全栈,27692.30769230769,32307.69230769231,30000.0,30k-40k,10.0,10.0,大专,1,上海,浦东,张江,大连弗斯特高新人才发展管理有限公司,5499.5
英语后端开发/大数据开发/python,数据开发,27692.30769230769,32307.69230769231,30000.0,30k-40k,5.0,10.0,本科,2,上海,浦东,潍坊新村,大连弗斯特高新人才发展管理有限公司,5499.5
Agent智能体开发工程师,AI/智能体,27692.30769230769,36923.07692307692,32307.692307692305,30k-40k,5.0,10.0,本科,2,广州,黄埔,萝岗,苏州人瑞普惠人力资源服务有限公司,59.5
大数据开发工程师,数据开发,25000.0,35000.0,30000.0,30k-40k,5.0,10.0,本科,2,北京,东城,东四,上海信息人才服务有限公司,59.5
大数据开发工程师,数据开发,25000.0,35000.0,30000.0,30k-40k,3.0,5.0,本科,2,北京,通州,新华,北京博泰通远信息咨询服务有限公司,59.5
后端工程师26062502,后端/全栈,25000.0,35000.0,30000.0,30k-40k,5.0,10.0,硕士,3,北京,朝阳,望京,华能信息技术有限公司,749.5
数据开发工程师,数据开发,25000.0,35000.0,30000.0,30k-40k,0.0,,本科,2,北京,海淀,上地,苏州人瑞普惠人力资源服务有限公司,59.5
数据开发工程师,数据开发,25000.0,35000.0,30000.0,30k-40k,0.0,,本科,2,上海,浦东,张江,苏州人瑞普惠人力资源服务有限公司,59.5
大数据开发工程师,数据开发,23000.0,35000.0,29000.0,20k-30k,0.0,,本科,2,上海,浦东,张江,苏州人瑞普惠人力资源服务有限公司,59.5
服务端研发工程师,其他,22500.0,41250.0,31875.0,30k-40k,0.0,,本科,2,上海,长宁,天山路,上海从鲸信息技术有限公司,15000.0
大数据高级工程师开发实施,数据开发,20000.0,30000.0,25000.0,20k-30k,5.0,10.0,本科,2,北京,丰台,看丹,深圳巨绿科技有限公司,59.5
Agent开发工程师,其他,20000.0,40000.0,30000.0,30k-40k,3.0,5.0,本科,2,北京,朝阳,建外,上海投中信息咨询股份有限公司北京办事处,199.5
Python 后端开发工程师（北教智学）,后端/全栈,20000.0,25000.0,22500.0,20k-30k,3.0,5.0,本科,2,北京,西城,德胜,博彦科技承德有限公司,5499.5
数据治理工程师,其他,20000.0,30000.0,25000.0,20k-30k,3.0,5.0,本科,2,上海,浦东,唐镇,上海宇量昇科技有限公司,399.5
Dify与钉钉智能体开发工程师,AI/智能体,20000.0,26000.0,23000.0,20k-30k,3.0,5.0,本科,2,上海,浦东,高行,万宝盛华企业管理咨询（上海）有限公司,749.5
大数据工程师（北京）,数据开发,20000.0,35000.0,27500.0,20k-30k,3.0,5.0,本科,2,北京,朝阳,,广东纬德信息科技股份有限公司,199.5
Agent开发工程师(智能零售),其他,20000.0,35000.0,27500.0,20k-30k,3.0,5.0,本科,2,北京,丰台,马家堡,融讯科技,59.5
高级数据工程师,数据开发,20000.0,25000.0,22500.0,20k-30k,5.0,10.0,本科,2,北京,丰台,太平桥,北京远盟普惠健康科技有限公司,749.5
高级python工程师（北京）,其他,20000.0,30000.0,25000.0,20k-30k,5.0,10.0,本科,2,北京,大兴,高米店,无锡北微传感科技有限公司,199.5
金融数据开发工程师（北京）,数据开发,20000.0,30000.0,25000.0,20k-30k,3.0,5.0,本科,2,北京,海淀,羊坊店,青岛光谷联合发展有限公司,199.5
Python开发工程师,其他,20000.0,25000.0,22500.0,20k-30k,5.0,10.0,本科,2,上海,长宁,新泾,爱多邦(北京)信息技术服务有限公司,199.5
AI AGENT工程师 (Infra方向),AI/智能体,20000.0,30000.0,25000.0,20k-30k,3.0,5.0,本科,2,广州,黄埔,萝岗,广东芯培森技术有限公司,10.0
数据工程师（外包 外资知名药企）,数据开发,20000.0,30000.0,25000.0,20k-30k,5.0,10.0,本科,2,上海,浦东,三林,科锐尔人力资源服务(苏州)有限公司,5499.5
高级python,其他,20000.0,25000.0,22500.0,20k-30k,5.0,10.0,本科,2,上海,长宁,新泾,爱多邦(北京)信息技术服务有限公司,199.5
大数据开发工程师,数据开发,18461.53846153846,27692.30769230769,23076.923076923078,20k-30k,5.0,10.0,本科,2,上海,徐汇,徐家汇,浙江柚香谷控股股份有限公司,5499.5
研发工程师,其他,18000.0,25000.0,21500.0,20k-30k,1.0,3.0,本科,2,北京,海淀,西三旗,北京通合智能科技有限公司,10.0
后处理与图形绘制工程师,其他,18000.0,23000.0,20500.0,20k-30k,3.0,5.0,硕士,3,广州,南沙,南沙,广东云湃科技有限责任公司,59.5
软件开发工程师（后端/平台方向）,后端/全栈,18000.0,25000.0,21500.0,20k-30k,0.0,,本科,2,上海,浦东,金桥,外企德科数字技术有限公司,15000.0
