job_name,job_news,job_city,job_ex,job_edu,job_company,c_info,c_num,c_tag
python爬虫工程师AI(WAI派),1.1-1.6万,北京·西城·新街口,3-5年,本科,郑州海奥软件科技有限公司,民营,100-299人,软件/IT服务
python爬虫工程师,6000-9000元,北京·东城·建国门,1-3年,本科,达华工程管理（集团）有限公司,民营,500-999人,房地产开发经营
python爬虫工程师,1.6-3万,北京·朝阳·朝外,3-5年,大专,北京保盛航空服务有限公司,民营,100-299人,客运服务
Python互联网数据采集（爬虫）开发工程师,8000-16000元,北京·海淀·马连洼,经验不限,本科,北京万智信达智能科技有限公司,其它,20-99人,人工智能
大数据开发工程师,2.5-3.5万,北京·通州·新华,3-5年,本科,北京博泰通远信息咨询服务有限公司,,20-99人,产业互联网平台
AI 工具链工程师（医疗方向）,2.1-2.5万·16薪,北京·海淀,1-3年,本科,北大医疗管理有限责任公司北京分公司,,10000人以上,医院/诊所服务
Python 开发工程师,8000-15000元,北京·大兴·博兴,3-5年,本科,康龙化成,上市公司,10000人以上,医药研发/生产外包（CXO）
大数据开发工程师,1-2万,北京·朝阳,经验不限,本科,民航电信开发有限责任公司,国企,100-299人,通信工程/技术服务
Python工程师,1.5-2.3万,北京·丰台·看丹,经验不限,本科,航天天目(重庆)卫星科技有限公司,,20-99人,技术服务
软件开发工程师,1.5-3万·14薪,北京·海淀,经验不限,本科,外企德科数字技术有限公司,合资,10000人以上,软件/IT服务
智能体开发工程师,9000-18000元,北京·大兴·博兴,1-3年,本科,康龙化成,上市公司,10000人以上,医药研发/生产外包（CXO）
高级爬虫工程师,1-1.2万,北京·西城·天桥,3-5年,本科,北京道略文旅科技有限公司,民营,20-99人,咨询服务
Python开发-初中高级（全国）,1.3-2.5万·14薪,北京·海淀,1-3年,本科,外企德科数字技术有限公司,合资,10000人以上,软件/IT服务
爬虫开发工程师,1.1-2万,北京·海淀,3-5年,硕士,航天信息,国企,1000-9999人,通信/网络设备
python开发工程师,1.3-2万·13薪,北京·海淀,3-5年,本科,数据磐石科技(北京)有限公司,民营,20-99人,云计算
急招python/java/C/C＋＋/js软件开发工程师（26届友好导师带教）,1.5-3万·14薪,北京·海淀,1-3年,本科,外企德科数字技术有限公司,合资,10000人以上,软件/IT服务
python实习生,4000-6000元,北京·海淀·上地,经验不限,本科,邻元科技(北京)有限公司,民营,20-99人,物联网
高级开发工程师（数据库运维软件方向）,1.5-1.8万,北京·通州·永顺,5-10年,大专,北京虹信万达科技有限公司,民营,20-99人,软件/IT服务
数字化转型工程师,1.3-1.7万,北京·丰台·东高地,3-5年,本科,北京中科航天人才服务有限公司,国企,1000-9999人,船舶/航空/航天/军工
实时数据开发工程师,1.2-1.5万,北京·朝阳,3-5年,本科,小葱(江苏)信息科技股份有限公司,,20-99人,软件/IT服务
数据开发工程师（公募基金/保险/证券经验）,1.4-1.9万,北京·西城·月坛,5-10年,大专,北京神州新桥科技有限公司,民营,1000-9999人,软件/IT服务
Python AI 模型部署接口联调,1.3-1.4万,北京·朝阳·劲松,3-5年,本科,北京中科航天人才服务有限公司,国企,1000-9999人,船舶/航空/航天/军工
高级大数据开发工程师,1.5-2.3万,北京·西城·金融街,3-5年,本科,达维信息技术(深圳)有限公司北京分公司,,100-299人,产业互联网平台
python开发工程师,1.6-2.3万·13薪,北京·海淀,3-5年,本科,北京合正未来科技有限公司,民营,20-99人,人工智能
大模型与数据工程工程师,1.3-1.5万,北京·西城·德胜,3-5年,本科,讯猫软件集团有限公司,民营,500-999人,软件/IT服务
数据开发工程师,1.2-1.8万,北京·朝阳·和平街,5-10年,本科,鼎欣汇智科技（北京）股份有限公司,股份制企业,1000-9999人,软件/IT服务
大数据开发工程师,2.5-3.5万,北京·东城·东四,5-10年,本科,上海信息人才服务有限公司,国企,20-99人,人力资源
python开发（外派-短期项目）,1.4-1.6万,北京·西城·金融街,3-5年,本科,北京浩然五洲软件技术有限公司,合资,100-299人,软件/IT服务
数据AI工程师,面议,北京·昌平,5-10年,硕士,中移金科,国企,1000-9999人,通信运营商/电信增值服务
软件开发工程师,8000-10000元,北京·顺义·李桥,1-3年,本科,北京中航华信机电设备安装有限公司,民营,20-99人,房地产开发经营
python开发-（外派-短期项目）,1.5-1.6万,北京·西城·金融街,3-5年,本科,北京浩然五洲软件技术有限公司,合资,100-299人,软件/IT服务
大数据平台运维开发工程师（浪潮云外包）,1.2-1.3万,北京·东城·建国门,3-5年,本科,鼎欣汇智科技（北京）股份有限公司,股份制企业,1000-9999人,软件/IT服务
Agent开发工程师,2-4万,北京·朝阳·建外,3-5年,本科,上海投中信息咨询股份有限公司北京办事处,民营,100-299人,软件/IT服务
大数据开发工程师,7000-8000元,北京·海淀·马连洼,1-3年,本科,首聘(北京)科技有限公司,民营,1000-9999人,人力资源
大数据开发工程师,1.2-2万,北京·朝阳,3-5年,本科,北京科博纳信息技术有限公司,民营,20-99人,软件/IT服务
大数据开发工程师,1.1-1.6万,北京·海淀·甘家口,3-5年,大专,北京华成航泰科技发展有限公司,民营,20-99人,云计算
数据模型开发工程师（三方公司）,1.2-1.4万,北京·海淀·甘家口,1-3年,大专,中联信科(北京)通信有限公司深圳分公司,,20-99人,通信工程/技术服务
Python 后端开发工程师（北教智学）,2-2.5万,北京·西城·德胜,3-5年,本科,博彦科技承德有限公司,股份制企业,1000-9999人,软件/IT服务
大数据开发工程师,1.2-1.6万,北京·昌平·史各庄,3-5年,本科,鑫锡软件(朝阳)有限公司,其它,20-99人,软件/IT服务
AI应用全栈开发工程师（AI人工智能企业直聘非外包）,1.5-2.3万,北京·朝阳,1-3年,本科,深度制耀(北京)科技股份有限公司,外商独资,100-299人,产业互联网平台
大数据开发工程师,9000-10000元,北京·海淀·马连洼,1-3年,本科,首聘(北京)科技有限公司,民营,1000-9999人,人力资源
数据开发工程师,1.6-2.2万,北京·西城·月坛,5-10年,本科,北京神州数字科技有限公司,上市公司,10000人以上,软件/IT服务
大数据高级工程师开发实施,2-3万,北京·丰台·看丹,5-10年,本科,深圳巨绿科技有限公司,其它,20-99人,软件/IT服务
